9321101,527,9
9321102,510,9
9322203,0,7
9322104,503,8
9322105,508,8
9322206,510,12
9321207,511,15
9322108,0,5
9322209,507,15
9321210,0,9
9322211,505,9
9322112,513,4
9321113,0,6
9322214,507,15
9321115,511,5
9322216,0,7
9322217,512,14
9321218,0,5
9322119,506,5
9321220,1,4
9321121,492,9
9321122,510,9
9322123,510,9
9321224,509,13
9321225,513,11
9321226,0,12
9322127,510,7
9322228,0,3
9321129,509,9
9322130,514,8
9321131,512,7
9321232,0,9
9322133,511,7
9322234,513,10
9321235,0,10
9321136,512,8
9322137,511,9
9321138,511,6
9322239,511,14
9321240,0,13
9322201,532,16
9321102,505,4
9321203,0,10
9322104,494,8
9321105,508,9
9322106,510,4
9321107,511,7
9322108,0,7
9321209,506,15
9321210,510,13
9322211,0,8
9322212,507,10
9322113,509,5
9321114,0,5
9322115,508,8
9321216,511,16
9321217,509,16
9321218,512,16
9322119,511,5
9322220,0,12
9322221,508,4
9322222,0,7
9322123,511,2
9321124,0,7
9321225,508,11
9321126,512,6
9321227,0,11
9322128,510,8
9322229,512,16
9321130,510,6
9321231,512,14
9321132,0,4
9321133,510,5
9322234,512,16
9322235,0,10
9322136,509,5
9321137,513,9
9322138,511,9
9321239,0,8
9322240,504,14
9322201,528,14
9321202,508,12
9322203,509,16
9322104,508,9
9322105,508,8
9321106,509,7
9321207,0,7
9322108,504,6
9322109,509,9
9321210,510,12
9321111,512,8
9322212,0,13
9321213,509,14
9321214,0,4
9322115,509,7
9322216,509,16
9321117,512,4
9322218,0,4
9322219,508,13
9322220,512,15
9321121,0,6
9321222,0,8
9322123,507,4
9322224,0,12
9321225,508,16
9321226,510,14
9322127,510,5
9321128,512,9
9321129,512,6
9321130,512,8
9322231,0,11
9322132,509,8
9321233,510,10
9321134,0,7
9321135,509,5
9322136,512,7
9321237,0,12
9321138,507,3
9322239,508,14
9322140,0,3
9322201,517,5
9322202,0,10
9322203,489,6
9322104,511,9
9322105,508,5
9322206,0,5
9322207,0,5
9321208,510,15
9322109,510,4
9322110,0,2
9322111,509,9
9322112,509,7
9321113,512,9
9321214,511,15
9322115,512,9
9322216,0,8
9321117,508,5
9322218,511,13
9321119,1,4
9321120,508,8
9321221,514,13
9321222,0,11
9321123,508,9
9321224,511,9
9321125,0,5
9321226,510,12
9321127,510,8
9322228,0,11
9321229,508,6
9321230,0,6
9321131,511,5
9321232,511,12
9322133,512,9
9322134,0,8
9321135,505,8
9321136,509,5
9322237,511,14
9321238,0,11
9322239,509,13
9322140,511,5
