0131101,970,1
1433101,1141,1
2232101,978,1
30
3122101,936,1
4221101,1587,1
5112101,2575,2
6211101,1570,1
33
7111101,2457,1
8211101,1501,1
9321101,4193,2
9322102,1540,2
9321203,3205,2
9321104,1897,2
9322205,1316,2
9321206,2540,2
9321207,1407,2
9322208,1624,2
9322109,1497,2
9322110,2282,3
9321111,2130,2
9321212,4285,3
9322113,1883,2
9322114,3383,2
9321215,2239,2
9321216,1596,2
9322217,1242,2
9321118,1646,2
9322219,3007,2
9321120,2488,3
9322121,1513,2
9322122,1510,2
9322123,1998,3
9322224,6229,5
9322225,2286,2
9322126,1458,2
9322227,9666,3
9321128,3600,2
9322229,3770,3
9321230,1610,2
9322231,1426,2
9321132,1499,2
9322133,2573,2
9321234,3364,3
9321135,2166,2
9322236,3364,2
9321137,6351,2
9321238,1834,2
9321139,2273,2
9321240,2408,2
