ID:,ConnorTest17_2_2,Date:,17_10_2019
0132101,876,1
1132101,703,1
2232101,839,1
Hits: 0,Miss: 19,Score: 0
3423101,1191,1
4222101,1916,2
5413101,2170,1
6211101,872,1
Hits: 0,Miss: 19,Score: 0
7112101,979,1
8211101,1092,1
