ID:,2,Date:,27_11_2019
0433101,966,1
1131101,1125,1
2231101,773,1
Hits: 5,Miss: 14,Score: 50
3122101,1533,1
4221101,3063,2
5112101,801,1
6212101,1789,1
Hits: 5,Miss: 14,Score: 50
7112101,1388,1
8211101,999,1
