Angry,Calm,Good,Happy,Mild,Negative,Positive,Severe
,healthy food shopping.jpg,,,,,macadamia_2.jpg,
,plants.jpg,,,,,Penguins.jpg,
,plants2.jpg,,,,,puppy.jpg,
,pot flower.jpg,,,,,reading 2.jpg,
,,,,,,reading 3.jpg,
,,,,,,reading.jpg,
,,,,,,sandwich.jpg,
,,,,,,sandwiches.jpg,
,,,,,,school kids.jpg,
,,,,,,smile lady.jpg,
,,,,,,smile male.jpg,
,,,,,,smiling girl school.jpg,
,,,,,,sport equip.jpg,
,,,,,,sports.jpg,
,,,,,,sswim fun.jpg,
,,,,,,student_technology_01.jpg,
,,,,,,techtools.png,
,,,,,,teen swim.jpg,
,,,,,,Why-Happy-Children-Grow-up-as-Losers.jpg,
,,,,,,Xmas tree spare.jpg,
,,,,,,bikes.jpg,
,,,,,,biscuits.jpg,
,,,,,,cooky milk.jpg,
,,,,,,family riding.jpg,
,,,,,,fruit bowl.jpg,
,,,,,,healthy eating.jpg,
,,,,,,healthy frute.jpg,
,,,,,,kids riding.jpg,
,,,,,,lunch.jpg,
,,,,,,read together.jpg,
,,,,,,reading.jpg,
